codprod;descricaoproduto;embalagem;unidade;codepto;deptodescricao;codsec;secdescricao;codncmex;nbm;informacoestecnicas;codmarca;marca;codmarcatabelamarcas;marcatabelamarcas
9357;CONFEITO MICANGA FACA/FESTA CANDY COLORS;500G;UN;2;ALIMENTOS;254;ACUCAR;17049020.;17049020;;239;LEKE;239;LEKE
9358;CHOCO.GRANUL.MESCLADO FACA/FESTA 500G;500G;UN;2;ALIMENTOS;236;CHOCOLATE/COBERTURA;18069000.;18069000;PRETO E BRANCO;239;LEKE;239;LEKE
9360;PAPEL P/LANCHE C/BARREIRA GORDURA 30X40;C/500;PT;6;EMBALAGENS/DESCARTAVEIS;624;PAPEL ALUMINIO/MANTEIGA;48064000.;48064000;IMPRESSO HAMBURGUERIA ;366;ROSA;366;ROSA
9363;CHOC.BIBS 40G AMENDOLATE (BRANCO);18X40G;DP;3;BOMBONIERI;312;CHOCOLATE;17049010.;17049010;;292;NEUGEBAUER;292;NEUGEBAUER
9364;VINHO DOM BOSCO TTO SUAVE;750ML;UN;1;BEBIDAS;54;VINHO MESA;22042100.10;22042100;750ML;566;DOM BOSCO;566;DOM BOSCO
9365;VINHO DOM BOSCO TTO SECO;750ML;UN;1;BEBIDAS;54;VINHO MESA;22042100.10;22042100;750ML;566;DOM BOSCO;566;DOM BOSCO
9375;WHISKY BUCHANAN'S 12 YEARS 750ML ;750ML;UN;1;BEBIDAS;4;WHISKY IMPORTADO;22083020.;22083020;750ML;63;BUCHANAN;63;BUCHANAN
9376;LUVA NITRILICA PRETA INOVEN S/PO P  ;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;C/100) ;494;INOVEN;494;INOVEN
9377;LUVA NITRILICA PRETA INOVEN S/PO M  ;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;C/100) ;494;INOVEN;494;INOVEN
9378;LUVA NITRILICA PRETA INOVEN S/PO G  ;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;C/100) ;494;INOVEN;494;INOVEN
9379;CHOC.BIBS STICKS NAPOLITANO 16X32G;16X32G;DP;3;BOMBONIERI;312;CHOCOLATE;19053200.;19053200;;292;NEUGEBAUER;292;NEUGEBAUER
9381;CHOC.TRENTO SPECIALE AVELA BRANCO;12X26G;DP;3;BOMBONIERI;312;CHOCOLATE;19053200.;19053200;12X26G;446;TRENTO;446;TRENTO
9382;CHOC.TRENTO SPECIALE AVELA AO LEITE;12X26G;DP;3;BOMBONIERI;312;CHOCOLATE;19053200.;19053200;12X26G;446;TRENTO;446;TRENTO
9383;WHISKY J.W.GOLD ICONS 750ML IMP;750ML;UN;1;BEBIDAS;4;WHISKY IMPORTADO;22083020.;22083020;750ML - SEM CARTUCHO;;;;
9389;VINHO IMP CHI 120 RESERVA SAUVIGNON BLA;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA -  BRANCO SECO;571;SANTA RITA 120;571;SANTA RITA
9390;VINHO IMP CHI 120 RESERVA MERLOT;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA - TINTO SECO;571;SANTA RITA 120;571;SANTA RITA
9394;VINHO IMP CHI TRES MEDALLAS CHARDONNAY;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA -  BRANCO SECO;571;SANTA RITA 3 MEDALLA;571;SANTA RITA
9397;VINHO IMP CHI TRES MEDALLAS ROSE;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA -  ROSE SECO;571;SANTA RITA 3 MEDALLA;571;SANTA RITA
9398;VINHO IMP CHI TRES MEDALLAS SWEET S.BLAN;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA - BRANCO SUAVE;571;SANTA RITA 3 MEDALLA;571;SANTA RITA
9399;VINHO IMP CHI TRES MEDALLAS SWEET ROSE;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA - SYRAH;571;SANTA RITA 3 MEDALLA;571;SANTA RITA
9400;VINHO IMP CHI TRES MEDALLAS SWEET C.SAUV;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA - TINTO SUAVE;571;SANTA RITA 3 MEDALLA;571;SANTA RITA
9401;VINHO IMP CHI BODEGAS CENTENARIAS C.SAUV;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA - TINTO MEIO SECO;571;SANTA RITA BODEGAS;571;SANTA RITA
